districtid,weekid,cases
119,14,153
119,15,117
119,16,76
119,17,93
119,18,185
119,19,266
119,20,420
119,21,376
119,22,455
119,23,468
119,24,598
119,25,832
120,1,0
120,2,0
120,3,0
120,4,0
120,5,0
120,6,0
120,7,5
120,8,2
120,9,2
120,10,9
120,11,18
120,12,7
120,13,10
120,14,30
120,15,20
120,16,27
120,17,63
120,18,104
120,19,42
120,20,264
120,21,215
120,22,234
120,23,232
120,24,280
120,25,258
121,1,0
121,2,0
121,3,0
121,4,0
121,5,0
121,6,0
121,7,25
121,8,3
121,9,5
121,10,8
121,11,9
121,12,9
121,13,17
121,14,21
121,15,47
121,16,52
121,17,42
121,18,62
121,19,57
121,20,78
121,21,77
121,22,59
121,23,77
121,24,62
121,25,81
122,1,0
122,2,0
122,3,0
122,4,0
122,5,0
122,6,0
122,7,18
122,8,31
122,9,20
122,10,14
122,11,73
122,12,65
122,13,144
122,14,371
122,15,531
122,16,779
122,17,1062
122,18,1343
122,19,4485
122,20,6838
122,21,7422
122,22,5698
122,23,5380
122,24,5133
122,25,5087
123,1,0
123,2,0
123,3,0
123,4,0
123,5,0
123,6,0
123,7,51
123,8,23
123,9,40
123,10,110
123,11,42
123,12,72
123,13,99
123,14,106
123,15,42
123,16,84
123,17,64
123,18,251
123,19,119
123,20,160
123,21,210
123,22,227
123,23,292
123,24,236
123,25,223
124,1,0
124,2,0
124,3,0
124,4,0
124,5,0
124,6,0
124,7,0
124,8,13
124,9,2
124,10,4
124,11,6
124,12,6
124,13,9
124,14,15
124,15,4
124,16,36
124,17,38
124,18,33
124,19,87
124,20,92
124,21,82
124,22,51
124,23,146
124,24,188
124,25,332
125,1,0
125,2,0
125,3,0
125,4,0
125,5,0
125,6,0
125,7,0
125,8,0
125,9,0
125,10,0
125,11,0
125,12,0
125,13,0
125,14,0
125,15,0
125,16,4
125,17,0
125,18,0
125,19,0
125,20,0
125,21,0
125,22,30
125,23,6
125,24,6
125,25,6
126,1,0
126,2,0
126,3,0
126,4,0
126,5,0
126,6,0
126,7,2
126,8,1
126,9,0
126,10,0
126,11,2
126,12,18
126,13,3
126,14,3
126,15,0
126,16,0
126,17,2
126,18,4
126,19,34
126,20,3
126,21,11
126,22,32
126,23,89
126,24,163
126,25,113
127,1,0
127,2,0
127,3,0
127,4,0
127,5,0
127,6,0
127,7,2
127,8,0
127,9,2
127,10,1
127,11,35
127,12,33
127,13,15
127,14,15
127,15,13
127,16,17
127,17,33
127,18,81
127,19,122
127,20,305
127,21,388
127,22,844
127,23,435
127,24,524
127,25,723
128,1,0
128,2,0
128,3,0
128,4,0
128,5,0
128,6,0
128,7,1
128,8,52
128,9,6
128,10,21
128,11,11
128,12,11
128,13,18
128,14,29
128,15,27
128,16,30
128,17,24
128,18,18
128,19,27
128,20,18
128,21,17
128,22,21
128,23,24
128,24,36
128,25,55
129,1,0
129,2,0
129,3,0
129,4,0
129,5,0
129,6,0
129,7,20
129,8,236
129,9,87
129,10,7
129,11,10
129,12,14
129,13,13
129,14,22
129,15,44
129,16,8
129,17,43
129,18,111
129,19,180
129,20,150
129,21,295
129,22,470
129,23,449
129,24,415
129,25,454
130,1,0
130,2,0
130,3,0
130,4,0
130,5,0
130,6,0
130,7,0
130,8,4
130,9,4
130,10,11
130,11,22
130,12,9
130,13,16
130,14,21
130,15,10
130,16,16
130,17,38
130,18,87
130,19,142
130,20,197
130,21,195
130,22,221
130,23,186
130,24,88
130,25,141
131,1,0
131,2,0
131,3,0
131,4,0
131,5,0
131,6,0
131,7,1
131,8,0
131,9,1
131,10,8
131,11,2
131,12,1
131,13,28
131,14,1
131,15,1
131,16,5
131,17,12
131,18,15
131,19,5
131,20,8
131,21,22
131,22,25
131,23,19
131,24,36
131,25,76
132,1,0
132,2,0
132,3,26
132,4,3
132,5,6
132,6,1
132,7,7
132,8,19
132,9,31
132,10,254
132,11,870
132,12,1257
132,13,1427
132,14,1354
132,15,1911
132,16,3836
132,17,5070
132,18,6910
132,19,8105
132,20,10640
132,21,15988
132,22,17844
132,23,13910
132,24,14326
132,25,20128
133,1,0
133,2,0
133,3,0
133,4,0
133,5,0
133,6,0
133,7,0
133,8,3
133,9,5
133,10,4
133,11,7
133,12,10
133,13,16
133,14,30
133,15,17
133,16,4
133,17,12
133,18,26
133,19,136
133,20,110
133,21,185
133,22,143
133,23,248
133,24,140
133,25,291
134,1,0
134,2,0
134,3,0
134,4,0
134,5,0
134,6,0
134,7,6
134,8,6
134,9,8
134,10,26
134,11,19
134,12,17
134,13,39
134,14,45
134,15,34
134,16,81
134,17,19
134,18,112
134,19,141
134,20,463
134,21,333
134,22,466
134,23,519
134,24,265
134,25,340
135,1,0
135,2,0
135,3,0
135,4,0
135,5,0
135,6,0
135,7,170
135,8,222
135,9,431
135,10,346
135,11,243
135,12,399
135,13,699
135,14,713
135,15,1313
135,16,1685
135,17,1724
135,18,1460
135,19,2094
135,20,2462
135,21,2007
135,22,2315
135,23,2252
135,24,2022
135,25,1999
136,1,0
136,2,0
136,3,0
136,4,0
136,5,0
136,6,0
136,7,0
136,8,0
136,9,6
136,10,50
136,11,51
136,12,20
136,13,34
136,14,39
136,15,61
136,16,45
136,17,130
136,18,178
136,19,135
136,20,498
136,21,308
136,22,379
136,23,482
136,24,754
136,25,690
137,1,0
137,2,0
137,3,0
137,4,0
137,5,0
137,6,0
137,7,0
137,8,1
137,9,3
137,10,19
137,11,58
137,12,62
137,13,16
137,14,11
137,15,35
137,16,59
137,17,80
137,18,96
137,19,146
137,20,417
137,21,592
137,22,513
137,23,483
137,24,436
137,25,399
138,1,0
138,2,0
138,3,0
138,4,0
138,5,0
138,6,0
138,7,6
138,8,21
138,9,20
138,10,6
138,11,1
138,12,13
138,13,9
138,14,17
138,15,46
138,16,63
138,17,166
138,18,237
138,19,596
138,20,588
138,21,1098
138,22,1083
138,23,1066
138,24,850
138,25,971
139,1,0
139,2,0
139,3,0
139,4,0
139,5,0
139,6,0
139,7,0
139,8,0
139,9,0
139,10,6
139,11,10
139,12,11
139,13,13
139,14,19
139,15,22
139,16,11
139,17,1
139,18,2
139,19,3
139,20,35
139,21,32
139,22,14
139,23,17
139,24,68
139,25,40
140,1,0
140,2,0
140,3,0
140,4,0
140,5,0
140,6,0
140,7,2
140,8,4
140,9,4
140,10,2
140,11,13
140,12,36
140,13,65
140,14,51
140,15,55
140,16,68
140,17,121
140,18,64
140,19,77
140,20,45
140,21,38
140,22,85
140,23,67
140,24,68
140,25,82
141,1,0
141,2,0
141,3,0
141,4,0
141,5,0
141,6,0
141,7,5
141,8,8
141,9,15
141,10,31
141,11,17
141,12,15
141,13,11
141,14,6
141,15,6
141,16,6
141,17,37
141,18,38
141,19,78
141,20,243
141,21,431
141,22,363
141,23,344
141,24,360
141,25,245
142,1,0
142,2,0
142,3,0
142,4,0
142,5,0
142,6,0
142,7,0
142,8,0
142,9,0
142,10,3
142,11,4
142,12,0
142,13,5
142,14,5
142,15,3
142,16,13
142,17,15
142,18,13
142,19,38
142,20,31
142,21,31
142,22,26
142,23,46
142,24,52
142,25,63
143,1,0
143,2,0
143,3,0
143,4,0
143,5,0
143,6,0
143,7,2
143,8,0
143,9,0
143,10,7
143,11,60
143,12,47
143,13,25
143,14,9
143,15,15
143,16,48
143,17,47
143,18,22
143,19,31
143,20,150
143,21,168
143,22,249
143,23,431
143,24,440
143,25,230
144,1,0
144,2,0
144,3,0
144,4,0
144,5,0
144,6,0
144,7,10
144,8,22
144,9,60
144,10,26
144,11,18
144,12,44
144,13,14
144,14,73
144,15,55
144,16,58
144,17,118
144,18,150
144,19,150
144,20,192
144,21,318
144,22,531
144,23,896
144,24,714
144,25,751
145,1,0
145,2,0
145,3,0
145,4,0
145,5,0
145,6,0
145,7,0
145,8,2
145,9,3
145,10,15
145,11,14
145,12,7
145,13,125
145,14,223
145,15,224
145,16,528
145,17,465
145,18,736
145,19,1156
145,20,3161
145,21,3319
145,22,3816
145,23,3466
145,24,3275
145,25,2856
146,1,0
146,2,0
146,3,0
146,4,0
146,5,0
146,6,0
146,7,0
146,8,0
146,9,10
146,10,5
146,11,28
146,12,11
146,13,9
146,14,9
146,15,31
146,16,63
146,17,209
146,18,344
146,19,544
146,20,513
146,21,578
146,22,642
146,23,496
146,24,429
146,25,346
147,1,0
147,2,0
147,3,0
147,4,0
147,5,0
147,6,0
147,7,0
147,8,0
147,9,2
147,10,16
147,11,6
147,12,17
147,13,0
147,14,3
147,15,0
147,16,9
147,17,6
147,18,18
147,19,8
147,20,9
147,21,13
147,22,44
147,23,114
147,24,81
147,25,321
148,1,0
148,2,0
148,3,0
148,4,0
148,5,0
148,6,0
148,7,0
148,8,0
148,9,0
148,10,15
148,11,5
148,12,76
148,13,39
148,14,67
148,15,31
148,16,12
148,17,46
148,18,12
148,19,20
148,20,71
148,21,69
148,22,69
148,23,69
148,24,174
148,25,293
149,1,0
149,2,0
149,3,0
149,4,0
149,5,0
149,6,0
149,7,0
149,8,0
149,9,0
149,10,1
149,11,15
149,12,1
149,13,20
149,14,63
149,15,28
149,16,17
149,17,8
149,18,12
149,19,21
149,20,9
149,21,40
149,22,14
149,23,10
149,24,27
149,25,93
150,1,0
150,2,0
150,3,0
150,4,0
150,5,0
150,6,0
150,7,0
150,8,1
150,9,9
150,10,23
150,11,6
150,12,7
150,13,4
150,14,1
150,15,12
150,16,26
150,17,19
150,18,20
150,19,57
150,20,96
150,21,118
150,22,202
150,23,130
150,24,209
150,25,163
151,1,0
151,2,0
151,3,0
151,4,0
151,5,0
151,6,0
151,7,0
151,8,0
151,9,0
151,10,1
151,11,14
151,12,5
151,13,18
151,14,3
151,15,5
151,16,25
151,17,13
151,18,19
151,19,17
151,20,8
151,21,10
151,22,60
151,23,15
151,24,132
151,25,142
152,1,0
152,2,0
152,3,0
152,4,0
152,5,0
152,6,0
152,7,1
152,8,48
152,9,6
152,10,16
152,11,8
152,12,29
152,13,14
152,14,13
152,15,6
152,16,51
152,17,103
152,18,103
152,19,152
152,20,157
152,21,45
152,22,68
152,23,130
152,24,123
152,25,155
153,1,0
153,2,0
153,3,0
153,4,0
153,5,0
153,6,0
153,7,4
153,8,11
153,9,3
153,10,2
153,11,0
153,12,4
153,13,6
153,14,6
153,15,4
153,16,7
153,17,21
153,18,74
153,19,92
153,20,81
153,21,32
153,22,101
153,23,88
153,24,235
153,25,280
154,1,0
154,2,0
154,3,0
154,4,0
154,5,0
154,6,0
154,7,4
154,8,6
154,9,1
154,10,5
154,11,7
154,12,47
154,13,42
154,14,24
154,15,28
154,16,15
154,17,33
154,18,92
154,19,163
154,20,164
154,21,217
154,22,410
154,23,412
154,24,311
154,25,225
155,1,0
155,2,0
155,3,0
155,4,0
155,5,0
155,6,0
155,7,1
155,8,1
155,9,28
155,10,38
155,11,42
155,12,18
155,13,38
155,14,34
155,15,25
155,16,13
155,17,55
155,18,59
155,19,77
155,20,250
155,21,374
155,22,256
155,23,165
155,24,134
155,25,188
156,1,0
156,2,0
156,3,0
156,4,0
156,5,0
156,6,0
156,7,0
156,8,0
156,9,0
156,10,1
156,11,27
156,12,76
156,13,75
156,14,15
156,15,43
156,16,24
156,17,43
156,18,65
156,19,119
156,20,259
156,21,216
156,22,380
156,23,523
156,24,528
156,25,687
157,1,0
157,2,0
157,3,0
157,4,0
157,5,0
157,6,0
157,7,4
157,8,0
157,9,2
157,10,17
157,11,0
157,12,0
157,13,5
157,14,2
157,15,2
157,16,5
157,17,3
157,18,9
157,19,27
157,20,80
157,21,63
157,22,83
157,23,58
157,24,110
157,25,156
158,1,0
158,2,0
158,3,0
158,4,0
158,5,0
158,6,0
158,7,0
158,8,1
158,9,27
158,10,104
158,11,19
158,12,18
158,13,44
158,14,42
158,15,57
158,16,97
158,17,191
158,18,99
158,19,171
158,20,346
158,21,315
158,22,518
158,23,644
158,24,686
158,25,732
159,1,0
159,2,0
159,3,0
159,4,0
159,5,0
159,6,0
159,7,26
159,8,18
159,9,12
159,10,18
159,11,81
159,12,100
159,13,195
159,14,70
159,15,218
159,16,206
159,17,282
159,18,239
159,19,231
159,20,166
159,21,169
159,22,294
159,23,219
159,24,178
159,25,204
160,1,0
160,2,0
160,3,0
160,4,0
160,5,0
160,6,0
160,7,1
160,8,0
160,9,3
160,10,1
160,11,10
160,12,43
160,13,4
160,14,0
160,15,3
160,16,2
160,17,9
160,18,2
160,19,24
160,20,37
160,21,88
160,22,101
160,23,77
160,24,76
160,25,284
161,1,0
161,2,0
161,3,0
161,4,0
161,5,0
161,6,0
161,7,4
161,8,1
161,9,3
161,10,25
161,11,13
161,12,15
161,13,50
161,14,40
161,15,63
161,16,104
161,17,226
161,18,280
161,19,457
161,20,1158
161,21,982
161,22,1264
161,23,851
161,24,749
161,25,924
162,1,0
162,2,0
162,3,0
162,4,0
162,5,0
162,6,0
162,7,0
162,8,0
162,9,0
162,10,0
162,11,2
162,12,14
162,13,2
162,14,34
162,15,17
162,16,64
162,17,35
162,18,76
162,19,101
162,20,80
162,21,158
162,22,217
162,23,402
162,24,741
162,25,1084
163,1,0
163,2,0
163,3,0
163,4,0
163,5,0
163,6,0
163,7,0
163,8,2
163,9,14
163,10,58
163,11,23
163,12,7
163,13,16
163,14,61
163,15,94
163,16,158
163,17,238
163,18,183
163,19,311
163,20,264
163,21,254
163,22,184
163,23,226
163,24,102
163,25,132
164,1,0
164,2,0
164,3,0
164,4,0
164,5,0
164,6,0
164,7,0
164,8,19
164,9,0
164,10,1
164,11,1
164,12,2
164,13,6
164,14,12
164,15,7
164,16,19
164,17,5
164,18,5
164,19,37
164,20,133
164,21,183
164,22,195
164,23,250
164,24,177
164,25,234
165,1,0
165,2,0
165,3,0
165,4,0
165,5,0
165,6,0
165,7,2
165,8,0
165,9,0
165,10,13
165,11,4
165,12,11
165,13,8
165,14,14
165,15,30
165,16,20
165,17,41
165,18,62
165,19,120
165,20,351
165,21,176
165,22,87
165,23,52
165,24,94
165,25,117
166,1,0
166,2,0
166,3,0
166,4,0
166,5,0
166,6,0
166,7,0
166,8,0
166,9,0
166,10,0
166,11,2
166,12,1
166,13,2
166,14,0
166,15,2
166,16,16
166,17,38
166,18,15
166,19,71
166,20,51
166,21,110
166,22,83
166,23,91
166,24,309
166,25,227
167,1,0
167,2,0
167,3,0
167,4,0
167,5,0
167,6,0
167,7,9
167,8,5
167,9,11
167,10,71
167,11,48
167,12,61
167,13,31
167,14,49
167,15,40
167,16,27
167,17,40
167,18,116
167,19,148
167,20,261
167,21,204
167,22,724
167,23,215
167,24,234
167,25,312
168,1,0
168,2,0
168,3,0
168,4,0
168,5,0
168,6,0
168,7,2
168,8,38
168,9,1
168,10,1
168,11,5
168,12,8
168,13,2
168,14,7
168,15,25
168,16,17
168,17,23
168,18,48
168,19,83
168,20,165
168,21,384
168,22,308
168,23,565
168,24,423
168,25,751
169,1,0
169,2,0
169,3,0
169,4,0
169,5,0
169,6,0
169,7,0
169,8,0
169,9,0
169,10,25
169,11,20
169,12,7
169,13,21
169,14,10
169,15,25
169,16,20
169,17,62
169,18,132
169,19,198
169,20,285
169,21,630
169,22,1108
169,23,1406
169,24,662
169,25,817
170,1,0
170,2,0
170,3,0
170,4,0
170,5,0
170,6,0
170,7,2
170,8,15
170,9,28
170,10,76
170,11,69
170,12,63
170,13,37
170,14,48
170,15,42
170,16,87
170,17,182
170,18,417
170,19,259
170,20,515
170,21,730
170,22,1376
170,23,718
170,24,548
170,25,370
171,1,0
171,2,0
171,3,0
171,4,0
171,5,0
171,6,0
171,7,19
171,8,12
171,9,31
171,10,13
171,11,19
171,12,117
171,13,40
171,14,6
171,15,9
171,16,65
171,17,85
171,18,458
171,19,1060
171,20,1463
171,21,1709
171,22,2158
171,23,2477
171,24,1926
171,25,2502
172,1,0
172,2,0
172,3,0
172,4,0
172,5,0
172,6,0
172,7,0
172,8,0
172,9,0
172,10,5
172,11,4
172,12,16
172,13,6
172,14,10
172,15,31
172,16,140
172,17,127
172,18,222
172,19,853
172,20,929
172,21,451
172,22,616
172,23,525
172,24,724
172,25,907
173,1,0
173,2,0
173,3,0
173,4,0
173,5,0
173,6,0
173,7,16
173,8,30
173,9,41
173,10,51
173,11,71
173,12,114
173,13,196
173,14,428
173,15,1455
173,16,5814
173,17,8517
173,18,12757
173,19,13884
173,20,13893
173,21,14841
173,22,15443
173,23,18069
173,24,18693
173,25,20315
174,1,0
174,2,0
174,3,0
174,4,0
174,5,0
174,6,0
174,7,0
174,8,0
174,9,2
174,10,10
174,11,10
174,12,12
174,13,2
174,14,6
174,15,6
174,16,23
174,17,28
174,18,53
174,19,32
174,20,53
174,21,55
174,22,62
174,23,151
174,24,136
174,25,148
175,1,0
175,2,0
175,3,0
175,4,0
175,5,0
175,6,0
175,7,1
175,8,1
175,9,3
175,10,8
175,11,25
175,12,35
175,13,10
175,14,25
175,15,14
175,16,32
175,17,56
175,18,19
175,19,145
175,20,226
175,21,113
175,22,104
175,23,101
175,24,136
175,25,130
176,1,0
176,2,0
176,3,0
176,4,0
176,5,0
176,6,0
176,7,3
176,8,6
176,9,21
176,10,52
176,11,15
176,12,27
176,13,17
176,14,28
176,15,40
176,16,20
176,17,37
176,18,35
176,19,194
176,20,115
176,21,230
176,22,546
176,23,604
176,24,539
176,25,642
177,1,0
177,2,0
177,3,0
177,4,0
177,5,0
177,6,0
177,7,0
177,8,9
177,9,24
177,10,34
177,11,69
177,12,90
177,13,91
177,14,29
177,15,89
177,16,128
177,17,347
177,18,617
177,19,640
177,20,466
177,21,715
177,22,621
177,23,727
177,24,606
177,25,619
178,1,0
178,2,0
178,3,0
178,4,0
178,5,0
178,6,0
178,7,1
178,8,0
178,9,0
178,10,8
178,11,20
178,12,10
178,13,10
178,14,22
178,15,8
178,16,10
178,17,65
178,18,25
178,19,28
178,20,41
178,21,122
178,22,122
178,23,216
178,24,247
178,25,599
179,1,0
179,2,0
179,3,0
179,4,0
179,5,0
179,6,0
179,7,2
179,8,4
179,9,7
179,10,12
179,11,100
179,12,374
179,13,328
179,14,379
179,15,206
179,16,213
179,17,219
179,18,162
179,19,215
179,20,304
179,21,225
179,22,302
179,23,324
179,24,138
179,25,139
180,1,0
180,2,0
180,3,0
180,4,0
180,5,0
180,6,0
180,7,-2
180,8,1
180,9,4
180,10,5
180,11,1
180,12,16
180,13,24
180,14,58
180,15,69
180,16,76
180,17,120
180,18,160
180,19,165
180,20,167
180,21,114
180,22,170
180,23,177
180,24,159
180,25,168
181,1,0
181,2,0
181,3,0
181,4,0
181,5,0
181,6,0
181,7,13
181,8,41
181,9,13
181,10,7
181,11,7
181,12,17
181,13,28
181,14,23
181,15,51
181,16,82
181,17,234
181,18,322
181,19,272
181,20,274
181,21,349
181,22,282
181,23,310
181,24,348
181,25,362
182,1,0
182,2,0
182,3,0
182,4,0
182,5,0
182,6,0
182,7,4
182,8,6
182,9,7
182,10,61
182,11,29
182,12,26
182,13,21
182,14,35
182,15,23
182,16,20
182,17,24
182,18,61
182,19,135
182,20,200
182,21,320
182,22,250
182,23,400
182,24,482
182,25,124
183,1,0
183,2,0
183,3,0
183,4,0
183,5,0
183,6,0
183,7,0
183,8,1
183,9,15
183,10,28
183,11,12
183,12,28
183,13,31
183,14,23
183,15,60
183,16,73
183,17,67
183,18,73
183,19,14
183,20,30
183,21,44
183,22,28
183,23,22
183,24,43
183,25,56
184,1,0
184,2,0
184,3,0
184,4,0
184,5,0
184,6,0
184,7,0
184,8,0
184,9,3
184,10,2
184,11,5
184,12,44
184,13,43
184,14,101
184,15,206
184,16,75
184,17,151
184,18,85
184,19,32
184,20,31
184,21,69
184,22,92
184,23,167
184,24,226
184,25,288
185,1,0
185,2,0
185,3,0
185,4,0
185,5,0
185,6,0
185,7,16
185,8,1
185,9,17
185,10,3
185,11,42
185,12,22
185,13,43
185,14,4
185,15,59
185,16,64
185,17,26
185,18,292
185,19,396
185,20,636
185,21,571
185,22,589
185,23,368
185,24,281
185,25,260
186,1,0
186,2,0
186,3,0
186,4,0
186,5,0
186,6,0
186,7,111
186,8,178
186,9,250
186,10,237
186,11,231
186,12,311
186,13,412
186,14,312
186,15,248
186,16,279
186,17,423
186,18,678
186,19,1024
186,20,1360
186,21,1070
186,22,708
186,23,876
186,24,1008
186,25,1306
187,1,0
187,2,0
187,3,0
187,4,0
187,5,0
187,6,0
187,7,1
187,8,10
187,9,30
187,10,24
187,11,52
187,12,84
187,13,135
187,14,134
187,15,71
187,16,171
187,17,250
187,18,356
187,19,457
187,20,474
187,21,580
187,22,615
187,23,573
187,24,406
187,25,439
188,1,0
188,2,0
188,3,0
188,4,0
188,5,0
188,6,0
188,7,0
188,8,0
188,9,0
188,10,0
188,11,0
188,12,0
188,13,0
188,14,0
188,15,1
188,16,1
188,17,15
188,18,19
188,19,28
188,20,11
188,21,19
188,22,25
188,23,72
188,24,247
188,25,157
189,1,0
189,2,0
189,3,0
189,4,0
189,5,0
189,6,0
189,7,5
189,8,8
189,9,4
189,10,24
189,11,25
189,12,50
189,13,55
189,14,18
189,15,40
189,16,59
189,17,79
189,18,103
189,19,136
189,20,95
189,21,160
189,22,211
189,23,194
189,24,315
189,25,406
190,1,0
190,2,0
190,3,0
190,4,0
190,5,0
190,6,0
190,7,0
190,8,1
190,9,4
190,10,33
190,11,29
190,12,6
190,13,11
190,14,68
190,15,56
190,16,190
190,17,427
190,18,473
190,19,361
190,20,335
190,21,497
190,22,601
190,23,536
190,24,660
190,25,428
191,1,0
191,2,0
191,3,0
191,4,0
191,5,0
191,6,0
191,7,0
191,8,0
191,9,0
191,10,18
191,11,30
191,12,49
191,13,60
191,14,13
191,15,2
191,16,51
191,17,68
191,18,139
191,19,77
191,20,155
191,21,180
191,22,142
191,23,249
191,24,362
191,25,1032
192,1,0
192,2,0
192,3,0
192,4,0
192,5,0
192,6,0
192,7,0
192,8,0
192,9,4
192,10,3
192,11,11
192,12,3
192,13,3
192,14,8
192,15,11
192,16,4
192,17,4
192,18,12
192,19,5
192,20,31
192,21,39
192,22,34
192,23,91
192,24,37
192,25,81
193,1,0
193,2,0
193,3,0
193,4,0
193,5,0
193,6,0
193,7,0
193,8,6
193,9,1
