districtid,monthid,statemean,statestdev
134,2,3.84,6.9
134,3,89.62,51.5
134,4,162.81,90.83
134,5,1088.92,1270.58
134,6,2259.41,1932.28
134,7,250.68,215.49
135,1,0,0.0
135,2,69.06,284.17
135,3,1639.82,5765.44
135,4,3036.74,8128.05
135,5,7014.12,15354.97
135,6,10613.74,16394.85
135,7,2638.94,3756.19
136,1,0,0.0
136,2,4.57,13.06
136,3,77.73,77.09
136,4,206.14,277.15
136,5,825.01,1037.23
136,6,1930,2616.88
136,7,389.42,548.42
137,1,0,0.0
137,2,4.57,13.06
137,3,78.07,77.19
137,4,206.51,277.07
137,5,827.5,1037.23
137,6,1929.03,2616.79
137,7,393.05,548.47
138,1,0,0.0
138,2,1.97,4.31
138,3,89.83,87.98
138,4,410.24,785.23
138,5,3702.83,9189.78
138,6,7371.48,13156.77
138,7,1591.1,2784.98
139,1,0,0.0
139,2,0.5,1.17
139,3,69.5,78.15
139,4,158.92,133.6
139,5,356.92,433.05
139,6,1039.33,1121.15
139,7,342,319.83
140,1,0,0.0
140,2,4.57,13.06
140,3,78.88,76.96
140,4,205.31,277.18
140,5,832.59,1035.82
140,6,1955.12,2609.68
140,7,395.76,547.32
141,1,0,0.0
141,2,4.57,13.06
141,3,78.22,77.19
141,4,207.81,276.5
141,5,832.2,1035.99
141,6,1937.58,2616.64
141,7,394.12,548.14
142,1,0,0.0
142,2,10.49,45.15
142,3,107.04,312.8
142,4,107.55,249.04
142,5,355.08,638.93
142,6,627.47,1041.83
142,7,154.02,250.16
143,1,0,0.0
143,2,1.38,3.77
143,3,59.48,84.79
143,4,172.86,212.15
143,5,847.28,1692.11
143,6,2422.62,2547.85
143,7,570.07,722.0
144,1,0,0.0
144,2,1.03,3.4
144,3,57.69,83.75
144,4,169.55,212.48
144,5,834.24,1695.38
144,6,2376.9,2554.05
144,7,557.76,726.1
145,1,0,0.0
145,2,2.14,4.33
145,3,90.31,87.7
145,4,386.93,783.71
145,5,3562.21,9191.4
145,6,7012.76,13084.72
145,7,1542.97,2788.6
146,1,0,0.0
146,2,4.57,13.06
146,3,78.57,77.12
146,4,207.3,276.78
146,5,815.85,1033.32
146,6,1927.76,2616.63
146,7,393.32,548.4
147,1,0,0.0
147,2,0.12,0.59
147,3,16.38,18.24
147,4,90.08,94.06
147,5,240.58,504.4
147,6,844.35,1627.9
147,7,436.12,823.07
148,1,0,0.0
148,2,0.12,0.59
148,3,16.65,18.35
148,4,82.12,90.8
148,5,236.81,505.53
148,6,838.42,1629.67
148,7,438.08,822.61
149,1,0,0.0
149,2,0.12,0.59
149,3,16.81,18.36
149,4,86.35,94.92
149,5,239.88,504.67
149,6,851.73,1624.85
149,7,443.81,820.53
150,1,0,0.0
150,2,4.57,13.06
150,3,78.72,77.06
150,4,207.82,276.49
150,5,834.8,1034.61
150,6,1949.43,2612.92
150,7,394.78,547.85
151,1,0,0.0
151,2,0.12,0.59
151,3,16.85,18.36
151,4,89.5,94.47
151,5,239.31,504.87
151,6,845.85,1627.36
151,7,442.92,820.92
152,1,0,0.0
152,2,34.19,149.1
152,3,384.41,1614.2
152,4,490.97,1613.86
152,5,882.28,1687.04
152,6,1078.88,1610.58
152,7,201.62,300.51
153,1,0,0.0
153,2,4.55,13.06
153,3,78.97,76.89
153,4,208.08,276.32
153,5,833.72,1035.25
153,6,1950.96,2612.14
153,7,394.54,547.97
154,1,0,0.0
154,2,4.63,9.07
154,3,95.37,85.96
154,4,258.11,213.25
154,5,653.84,829.89
154,6,836.42,1038.81
154,7,231.21,367.79
155,1,0,0.0
155,2,3.97,6.89
155,3,88.46,51.54
155,4,163.76,90.56
155,5,1097.76,1266.67
155,6,2278.65,1923.32
155,7,253.57,214.7
156,1,0,0.0
156,2,0,0.0
156,3,228.14,447.79
156,4,583.55,909.22
156,5,2324.77,3994.97
156,6,4125.23,4932.94
156,7,654.95,753.82
157,1,0,0.0
157,2,12.28,30.87
157,3,192.69,262.6
157,4,283,375.01
157,5,746.59,944.29
157,6,1226.16,1415.97
157,7,235.47,331.42
158,1,0,0.0
158,2,4.57,13.06
158,3,77.15,76.66
158,4,205.99,277.17
158,5,826.41,1037.29
158,6,1925.38,2616.21
158,7,389.99,548.54
159,1,0,0.0
159,2,3.63,8.04
159,3,88.63,86.62
159,4,232.79,194.64
159,5,622.16,825.77
159,6,863.89,1048.15
159,7,230.58,367.93
160,1,0,0.0
160,2,12.38,30.83
160,3,192.84,262.49
160,4,281.88,375.78
160,5,747.69,943.5
160,6,1223.88,1417.37
160,7,233.19,331.87
161,1,0,0.0
161,2,4.54,13.06
161,3,78.59,77.11
161,4,205.8,277.19
161,5,809.15,1026.51
161,6,1902.05,2603.3
161,7,387.47,547.63
162,1,0,0.0
162,2,1.38,3.77
162,3,61.97,84.29
162,4,173.34,211.97
162,5,844.76,1692.98
162,6,2411.1,2551.81
162,7,545.07,723.51
163,1,0,0.0
163,2,12.41,30.82
163,3,190.25,263.88
163,4,275.5,378.0
163,5,718.12,949.53
163,6,1210.22,1423.12
163,7,236.53,331.03
164,1,0,0.0
164,2,7.52,11.46
164,3,83.86,70.35
164,4,155.71,190.65
164,5,494.62,589.47
164,6,1759.38,1780.35
164,7,352.19,304.54
165,1,0,0.0
165,2,10.45,45.16
165,3,106.65,312.91
165,4,106.73,249.26
165,5,346.41,639.28
165,6,621.18,1043.71
165,7,153.49,250.34
166,1,0,0.0
166,2,0.12,0.59
166,3,17.35,18.11
166,4,90.62,93.6
166,5,235.04,505.78
166,6,830.46,1631.09
166,7,440.54,821.86
167,1,0,0.0
167,2,4.57,13.06
167,3,77.2,76.72
167,4,205.91,277.18
167,5,829.89,1036.8
167,6,1938.58,2616.49
167,7,393.66,548.3
168,1,0,0.0
168,2,7.43,11.52
168,3,82.76,71.16
168,4,155.24,190.95
168,5,490.19,591.69
168,6,1705.95,1788.07
168,7,336.95,306.93
169,1,0,0.0
169,2,71.44,283.91
169,3,1678.76,5758.82
169,4,3147.21,8112.03
169,5,7247.32,15315.38
169,6,10765.5,16356.11
169,7,2664.76,3744.88
170,1,0,0.0
170,2,3.95,6.9
170,3,85.05,45.38
170,4,161.46,90.54
170,5,1074.11,1271.75
170,6,2208.49,1919.78
170,7,250.78,215.48
171,1,0,0.0
171,2,1.62,3.57
171,3,88.34,88.3
171,4,408.21,785.95
171,5,3654.17,9197.9
171,6,7217.52,13163.15
171,7,1545.45,2789.04
172,1,0,0.0
172,2,2.14,4.33
172,3,91.21,86.97
172,4,410.1,785.28
172,5,3680.9,9194.43
172,6,7440.38,13135.76
172,7,1587.24,2786.23
173,1,0,0.0
173,2,1.72,3.91
173,3,84,84.72
173,4,269.34,295.62
173,5,1996,1323.98
173,6,4990.59,3309.98
173,7,1075.07,685.47
174,1,0,0.0
174,2,10.49,45.15
174,3,106.69,312.9
174,4,107.31,249.12
174,5,353.78,639.38
174,6,621.57,1043.65
174,7,153.16,250.42
175,1,0,0.0
175,2,4.57,13.06
175,3,78.68,77.08
175,4,207.11,276.86
175,5,831.18,1036.4
175,6,1951.95,2611.61
175,7,395.55,547.45
176,1,0,0.0
176,2,1.28,3.77
176,3,59,84.63
176,4,172.31,212.32
176,5,842.72,1693.61
176,6,2401.14,2553.93
176,7,556.21,726.15
177,1,0,0.0
177,2,4,6.88
177,3,86.81,49.81
177,4,158.32,86.76
