districtid,overallid,neighborhoodzscore,statezscore
101,1,-1.77,-0.47
102,1,1.02,-0.12
103,1,30.42,7.17
104,1,-0.52,-0.02
105,1,-0.39,8.81
106,1,0.18,0.6
107,1,0.21,-0.48
108,1,0.85,0.07
109,1,0.98,0.37
110,1,-0.59,-0.49
111,1,-0.61,-0.27
112,1,-0.15,-0.59
113,1,1.09,1.96
114,1,0.52,0.3
115,1,-0.98,-0.59
116,1,-1.19,-0.46
117,1,0.02,-0.44
118,1,-0.5,-0.26
119,1,3.08,0.69
120,1,-0.73,-0.38
121,1,-0.7,-0.36
122,1,1.2,0.62
123,1,0.05,0.17
124,1,-0.65,-0.63
125,1,-1.08,-0.44
126,1,-0.31,-0.36
127,1,0.62,-0.07
128,1,-1.13,-0.42
129,1,-0.91,-0.4
130,1,-0.71,-0.73
131,1,-1.81,-0.45
132,1,88.83,0.0
133,1,-0.72,-0.48
134,1,-0.13,-0.27
135,1,0.16,-0.01
136,1,1.36,0.1
137,1,-0.09,-0.0
138,1,-0.57,-0.24
139,1,-1.11,-0.84
140,1,-0.43,-0.59
141,1,-0.22,-0.28
142,1,-0.45,-0.42
143,1,0.43,-0.45
144,1,0.16,0.04
145,1,0.36,0.42
146,1,0.97,0.2
147,1,-0.83,-0.32
148,1,-0.43,-0.18
149,1,-1.2,-0.42
150,1,-0.81,-0.55
151,1,-0.64,-0.38
152,1,-0.19,-0.29
153,1,0.91,-0.56
154,1,-0.39,0.06
155,1,-0.2,-0.61
156,1,-0.27,-0.45
157,1,-0.89,-0.67
158,1,-0.22,0.16
159,1,-0.16,0.4
160,1,-0.52,-0.63
161,1,3.76,0.89
162,1,1.47,-0.21
163,1,-0.34,-0.1
164,1,-0.58,-0.56
165,1,-0.56,-0.06
166,1,-0.38,-0.2
167,1,0.19,-0.2
168,1,4.49,0.03
169,1,-0.71,-0.45
170,1,-0.1,0.53
171,1,0.33,0.05
172,1,-0.39,-0.3
173,1,90.41,26.23
174,1,-0.38,-0.23
175,1,-1.2,-0.53
176,1,-0.06,-0.18
177,1,2.36,0.63
178,1,-0.46,-0.54
179,1,0.4,0.34
180,1,-0.64,-0.22
181,1,-0.46,0.0
182,1,0.47,-0.14
183,1,-1.21,-0.29
184,1,0.03,-0.52
185,1,-0.39,-0.04
186,1,41.93,4.94
187,1,-0.53,-0.32
188,1,-0.45,-0.35
189,1,-0.89,-0.34
190,1,0.36,0.7
191,1,4.0,0.36
192,1,-0.99,-0.47
193,1,0.12,-0.52
194,1,-0.21,0.04
195,1,-0.63,-0.41
196,1,-1.21,-0.71
197,1,-0.87,-0.4
198,1,-0.15,0.33
199,1,-0.43,-0.23
200,1,-0.33,-0.48
201,1,-0.61,-0.65
202,1,-0.64,-0.32
