districtid,overallid,neighborhoodzscore,statezscore
338,1,-1.13,-0.74
339,1,0.12,0.07
340,1,1.03,1.92
341,1,-0.24,-0.46
342,1,1.26,0.13
343,1,-0.66,-0.46
344,1,-0.58,-0.42
345,1,0.5,-0.35
346,1,16.2,1.38
347,1,0.6,0.04
348,1,-1.49,-0.68
349,1,-0.82,-0.64
350,1,-0.22,-0.01
351,1,-0.74,-0.36
352,1,-0.18,0.11
353,1,-0.62,-0.41
354,1,-0.72,-0.25
355,1,-0.42,-0.58
356,1,0.15,-0.29
357,1,8.74,0.31
358,1,-1.84,-0.72
359,1,-1.73,-0.53
360,1,-1.1,-0.52
361,1,-1.43,-0.76
362,1,5.81,4.19
363,1,-0.07,-0.18
364,1,-0.22,-0.36
365,1,-1.48,-0.75
366,1,-0.78,-0.59
367,1,-0.34,-0.01
368,1,-0.43,-0.54
369,1,-1.83,-0.7
370,1,-0.24,-0.24
371,1,-0.42,-0.59
372,1,-0.38,0.25
373,1,-0.41,-0.36
374,1,0.1,1.08
375,1,-0.39,-0.39
376,1,0.36,-0.51
377,1,-0.45,-0.51
378,1,19.29,3.3
379,1,-0.72,-0.09
380,1,-0.6,-0.49
381,1,-3.94,-0.62
382,1,-0.8,-0.67
383,1,-0.08,0.0
384,1,0.89,0.1
385,1,-1.25,-0.45
386,1,-0.16,-0.08
387,1,-0.58,-0.58
388,1,0.54,-0.5
389,1,0.5,0.3
390,1,-0.4,-0.34
391,1,-0.55,-0.57
392,1,-0.8,-0.41
393,1,-0.66,-0.37
394,1,-1.0,-0.45
395,1,-0.35,-0.16
396,1,-0.45,0.17
397,1,-0.5,-0.33
398,1,1.65,4.92
399,1,-0.82,-0.52
400,1,-0.56,-0.51
401,1,-0.75,-1.17
402,1,-1.45,-0.62
403,1,-1.3,-0.45
404,1,-0.64,-0.84
405,1,-1.07,-0.45
406,1,-0.88,-0.15
407,1,-0.38,1.7
408,1,-0.52,-0.36
409,1,-0.58,0.25
410,1,2.08,0.01
411,1,1.53,4.72
412,1,-0.76,-0.29
413,1,-1.09,-0.4
414,1,-0.44,-0.22
415,1,-0.44,-0.01
416,1,-0.49,-0.22
417,1,-0.39,-0.36
418,1,12.14,1.14
419,1,-0.04,-0.36
420,1,0.55,0.11
421,1,-0.52,-0.59
422,1,-0.98,-1.84
423,1,-0.49,-0.42
424,1,0.65,-0.05
425,1,-0.26,-0.68
426,1,-0.64,0.07
427,1,0.05,0.92
428,1,-0.67,-0.34
429,1,-0.65,-0.58
430,1,-0.44,0.03
431,1,0.01,-0.27
432,1,-1.24,-1.44
433,1,-0.21,-0.19
434,1,-0.57,-0.59
435,1,0.27,-0.44
436,1,-0.36,-0.43
437,1,1.73,-0.35
438,1,-0.69,-0.52
439,1,1.1,0.0
440,1,-1.81,-0.42
441,1,-0.64,-0.58
442,1,-0.45,-0.14
443,1,-0.58,-0.46
444,1,-0.5,-0.63
445,1,-0.45,-0.37
446,1,-0.38,-0.22
447,1,-0.52,-0.42
448,1,31.32,10.2
449,1,3.95,4.78
450,1,-0.19,-0.06
451,1,-1.14,-0.46
452,1,4.29,0.36
453,1,1.41,0.1
454,1,-0.5,-0.05
455,1,-0.52,-0.26
456,1,-3.15,-0.8
457,1,-0.46,-0.4
458,1,-0.9,-0.39
459,1,-0.63,-0.68
460,1,0.03,-0.41
461,1,2.9,1.18
462,1,1.28,-0.25
463,1,-0.67,-0.33
464,1,-0.46,-0.51
465,1,-0.54,-0.31
466,1,-0.48,-0.44
467,1,-0.52,-0.18
468,1,-0.31,-0.26
469,1,-0.28,0.0
470,1,-1.51,-0.76
471,1,0.08,-0.21
472,1,-1.1,-0.4
473,1,0.52,0.13
474,1,0.61,0.33
475,1,-0.38,-0.21
476,1,-0.47,-0.4
477,1,-0.68,-0.44
478,1,-0.45,-0.59
479,1,-0.5,-0.09
480,1,2.57,0.51
481,1,-0.91,-0.32
482,1,0.03,0.33
483,1,0.0,3.22
484,1,-0.53,-0.4
485,1,-0.41,-0.43
486,1,0.53,-0.39
487,1,-0.32,-0.22
488,1,2.33,0.8
489,1,4.71,0.33
490,1,0.01,-0.59
491,1,-0.54,-0.32
492,1,-0.62,-0.39
493,1,-0.8,-0.08
494,1,16.84,0.26
495,1,0.97,0.76
496,1,-0.15,0.27
497,1,-0.84,-0.42
498,1,-0.58,0.01
499,1,-0.33,-0.37
500,1,0.31,-0.5
501,1,-0.35,-0.35
502,1,-0.64,-0.38
503,1,-0.47,-0.34
504,1,0.35,0.44
505,1,-0.64,-0.34
506,1,-0.38,-0.46
507,1,-0.63,-0.15
508,1,0.21,-0.01
509,1,-0.8,-0.45
510,1,-0.93,-0.48
511,1,1.38,3.53
512,1,-0.5,-0.46
513,1,-0.49,-0.42
514,1,-0.81,-0.72
515,1,-1.09,-0.78
516,1,-0.73,-0.41
517,1,-0.51,-0.51
518,1,-0.92,-0.66
519,1,-0.55,-0.29
520,1,-0.41,-0.09
521,1,-0.29,0.06
522,1,0.17,0.53
523,1,-1.06,-0.53
524,1,-0.24,-0.13
525,1,-0.22,-0.23
526,1,1.11,0.31
527,1,-2.22,-0.44
528,1,-0.34,11.26
529,1,-0.66,-0.5
530,1,1.78,-0.33
531,1,-0.14,-0.21
532,1,-1.35,-0.31
533,1,-0.56,-0.58
534,1,0.1,-0.51
535,1,3.13,1.66
536,1,13.67,13.49
537,1,-0.77,-0.59
538,1,-1.7,-0.47
539,1,-0.55,-0.04
540,1,-0.62,-0.58
541,1,-0.99,-0.21
542,1,-0.23,-0.77
543,1,-1.11,-0.44
544,1,-0.67,-0.79
545,1,-1.2,-0.71
546,1,-0.32,-0.31
547,1,8.67,1.9
548,1,0.92,21.61
549,1,0.27,-0.25
550,1,-0.37,0.34
551,1,-1.23,-0.77
552,1,2.8,5.14
553,1,-0.62,-0.45
554,1,-0.4,-0.06
555,1,-1.01,0.07
556,1,0.58,0.19
557,1,-0.69,-0.59
558,1,-0.42,-0.42
559,1,-0.53,-0.19
560,1,-0.59,0.21
561,1,0.5,0.28
562,1,9.07,14.46
563,1,-0.44,-0.26
564,1,-0.36,-0.18
565,1,4.14,0.4
566,1,1.29,0.52
567,1,-0.46,-0.52
568,1,-1.13,-0.46
569,1,-0.43,-0.37
570,1,-0.95,-0.32
571,1,-0.63,-0.67
572,1,-0.47,0.01
573,1,-0.43,0.07
574,1,17.35,5.33
575,1,0.38,-0.07
576,1,-1.21,-0.46
577,1,-0.43,0.26
578,1,-0.74,-0.79
579,1,-0.39,-0.2
580,1,-0.22,0.16
581,1,-0.51,0.04
582,1,0.8,-0.01
583,1,2.59,0.21
584,1,-1.37,-0.83
585,1,-0.48,-0.67
586,1,0.44,0.61
587,1,0.63,-0.11
588,1,-1.07,-0.37
589,1,1.03,-0.05
590,1,0.82,0.24
591,1,0.51,-0.06
592,1,-1.14,-0.49
593,1,0.0,-0.53
594,1,3.35,0.01
595,1,-0.43,-0.08
596,1,-0.67,-0.62
597,1,0.75,-0.17
598,1,-0.91,-0.42
599,1,0.3,-0.17
600,1,-0.24,-0.15
601,1,-0.48,-0.33
602,1,-0.81,-0.27
603,1,-0.29,0.22
604,1,-0.47,-0.17
605,1,0.11,-0.3
606,1,-0.44,-0.69
607,1,-0.34,-0.23
608,1,-0.47,-0.44
609,1,-0.73,-0.61
610,1,1.55,-0.26
611,1,-0.83,-0.76
612,1,0.31,0.07
613,1,-0.72,-0.36
614,1,-1.33,-0.52
615,1,-0.59,-0.6
616,1,-2.19,-0.9
617,1,-0.63,-0.33
618,1,-1.2,-0.54
619,1,-0.57,-0.45
620,1,0.55,-0.13
621,1,-0.35,-0.06
622,1,-2.15,-0.19
623,1,-1.51,-0.64
624,1,-0.92,-0.47
625,1,-0.39,-0.25
626,1,-1.72,-0.42
627,1,-0.19,0.05
628,1,-0.31,0.0
629,1,-0.41,-0.42
630,1,-1.65,-0.54
631,1,-0.73,-0.39
632,1,-0.18,0.07
633,1,-1.14,1.07
634,1,-0.47,-0.42
635,1,0.47,-0.49
636,1,-0.51,-0.29
637,1,-0.49,-0.25
638,1,-1.24,-0.35
639,1,-1.28,-0.22
640,1,0.08,3.54
641,1,-0.26,-0.07
642,1,0.08,-0.39
643,1,-0.37,0.47
644,1,-0.75,0.43
645,1,-0.63,-0.45
646,1,-7.09,-0.63
647,1,-0.71,-0.48
648,1,-0.62,-0.5
649,1,-0.51,-0.61
650,1,1.47,-0.87
651,1,15.5,6.99
652,1,-0.99,-0.67
653,1,-0.6,-0.35
654,1,-0.3,-0.28
655,1,3.4,0.18
656,1,-0.82,-0.33
657,1,-0.6,-0.39
658,1,37.49,3.58
659,1,-0.43,-0.29
660,1,-0.08,-0.24
661,1,-0.67,-0.43
662,1,-1.06,-0.7
663,1,-0.9,0.02
664,1,-0.18,-0.23
665,1,5.96,0.0
666,1,0.84,2.96
667,1,0.21,-0.22
668,1,0.66,0.03
669,1,-0.45,0.59
670,1,3.0,5.51
671,1,0.09,-0.35
672,1,0.54,-0.03
673,1,-0.85,-0.23
674,1,-0.66,-0.37
675,1,-0.58,0.04
676,1,0.42,-0.19
677,1,0.2,-0.09
678,1,-0.48,-0.39
679,1,0.54,-0.04
680,1,-0.63,-0.67
681,1,-0.18,-0.51
682,1,-0.24,-0.23
683,1,0.99,-0.03
684,1,0.37,1.46
685,1,-0.25,-0.54
686,1,0.84,-0.02
687,1,-0.19,0.2
688,1,-0.62,-0.5
689,1,-0.74,-0.04
690,1,-0.64,-0.26
691,1,-4.28,-0.77
692,1,-102.11,-0.6
693,1,-0.14,-0.38
694,1,0.97,-0.12
695,1,-0.27,-0.28
696,1,-1.7,-0.51
697,1,-1.33,-0.29
698,1,-0.12,-0.42
699,1,14.5,0.92
700,1,-0.64,-0.07
701,1,-0.7,-0.33
702,1,6.2,1.37
703,1,-0.57,-0.03
704,1,-0.37,-0.14
705,1,-0.9,-0.23
706,1,-1.12,-0.17
707,1,0.92,0.04
708,1,0.55,0.25
709,1,0.24,-1.24
710,1,-0.69,-0.54
711,1,-1.31,-0.53
712,1,-0.74,-1.22
713,1,0.01,-0.01
714,1,-0.44,0.3
715,1,-0.53,0.39
716,1,-0.51,-0.44
717,1,-0.5,0.63
718,1,-0.38,-0.39
719,1,2.92,0.16
720,1,-0.41,-0.11
721,1,6.63,9.81
722,1,-0.51,-0.58
723,1,-1.16,-0.57
724,1,-0.55,-0.28
725,1,-0.73,-0.39
726,1,-0.38,-0.48
727,1,-0.25,-0.44
