Id,District
349,jamui/Q49168
350,janjgir champa/Q2575633
351,jashpur/Q2577551
352,jaunpur/Q1356060
353,jehanabad/Q49176
354,jhabua/Q2085336
355,jhajjar/Q1948260
356,jhalawar/Q1471417
357,jhansi/Q1937885
358,jhargram/Q29168456
359,jharsuguda/Q569181
360,jhunjhunu/Q1471427
361,jind/Q268605
362,jodhpur/Q1434965
363,junagadh/Q1797344
364,kabeerdham/Q2450255
365,kaimur/Q77367
366,kaithal/Q614037
367,kalaburagi/Q2641873
368,kalahandi/Q1876588
369,kalimpong/Q28769140
370,kallakurichi/Q60493360
371,kamle/Q48731073
372,kancheepuram/Q15157
373,kandhamal/Q2085500
374,kangra/Q727232
375,kannauj/Q627979
376,kannur/Q2980652
377,kanpur dehat/Q610612
378,kanpur nagar/Q2089152
379,kanyakumari/Q15158
380,kapurthala/Q172363
381,karaikal/Q639264
382,karauli/Q1419668
383,kargil/Q1650798
384,karnal/Q607915
385,karur/Q15182
386,kasaragod/Q1419703
387,kasganj/Q890800
388,kathua/Q2375700
389,katihar/Q77568
390,katni/Q746441
391,kaushambi/Q1946937
392,kendrapara/Q2299172
393,kendujhar/Q2085428
394,khagaria/Q49175
395,khandwa/Q2085436
396,khargone/Q2273900
397,kheda/Q1755463
398,khordha/Q662818
399,khowai/Q16086680
400,khunti/Q367344
401,kinnaur/Q1862950
402,kiphire/Q2597908
403,kishanganj/Q77375
404,kishtwar/Q2321899
405,kodagu/Q1553185
406,koderma/Q2085480
407,kohima/Q953530
408,kolar/Q2509866
409,kolasib/Q1947343
410,kolhapur/Q1797312
411,kolkata/Q1348
412,kollam/Q1356124
413,kondagaon/Q12420995
414,koppal/Q956387
415,koraput/Q1947300
416,korba/Q2299121
417,koriya/Q2295896
418,kota/Q999432
419,kottayam/Q1353354
420,kozhikode/Q1142979
421,kra daadi/Q21018627
422,krishna/Q15382
423,krishnagiri/Q15183
424,kulgam/Q2321867
425,kullu/Q2980880
426,kupwara/Q2297306
427,kurnool/Q15381
428,kurukshetra/Q980118
429,kurung kumey/Q2449506
430,kushinagar/Q825673
431,kutch/Q1063417
432,lahaul and spiti/Q837595
433,lakhimpur kheri/Q1755447
434,lakhisarai/Q77505
435,lalitpur/Q1947336
436,latehar/Q2244762
437,latur/Q1948713
438,lawngtlai/Q2086209
439,leh/Q1921210
440,lepa rada/Q63563632
441,lohardaga/Q1948301
442,lohit/Q15438
443,longding/Q5627568
444,longleng/Q1426783
445,lower dibang valley/Q2373368
446,lower siang/Q13602925
447,lower subansiri/Q15436
448,lucknow/Q1773416
449,ludhiana/Q172482
450,lunglei/Q1947352
451,madhepura/Q77746
452,madhubani/Q77474
453,madurai/Q15184
454,maharajganj/Q1356139
455,mahasamund/Q2450240
456,mahe/Q639279
457,mahendragarh/Q684019
458,mahisagar/Q5706885
459,mahoba/Q1815322
460,mainpuri/Q1816657
461,malappuram/Q1030918
462,malda/Q2049820
463,malkangiri/Q5122619
464,mamit/Q751531
465,mandi/Q1892161
466,mandla/Q2341670
467,mandsaur/Q1870014
468,mandya/Q2768290
469,manipur/Q876532
470,mansa/Q172387
471,mathura/Q1773422
472,mau/Q1518847
473,mayurbhanj/Q1914546
474,meerut/Q1764627
475,mehsana/Q2019694
476,mirzapur/Q1143894
477,moga/Q1946896
478,mokokchung/Q2175311
479,mon/Q2339648
480,moradabad/Q1345006
481,morbi/Q5979727
482,morena/Q2341467
483,mumbai/Q2341660
484,mungeli/Q13476249
485,munger/Q77452
486,murshidabad/Q1546240
487,muzaffarnagar/Q2365710
488,muzaffarpur/Q77731
489,mysuru/Q591781
490,nabarangapur/Q2396798
491,nadia/Q1143880
492,nagapattinam/Q15185
493,nagaur/Q1507174
494,nagpur/Q1797367
495,nainital/Q1797306
496,nalanda/Q77633
497,namakkal/Q15187
498,namsai/Q21559824
499,nanded/Q692389
500,nandurbar/Q1623525
501,narayanpur/Q2322000
502,narmada/Q1797230
503,narsinghpur/Q2341616
504,nashik/Q1797269
505,navsari/Q1797349
506,nawada/Q100067
507,nayagarh/Q2367388
508,neemuch/Q2341713
509,nilgiris/Q15188
510,niwari/Q63563797
511,north 24 parganas/Q338425
512,north garo hills/Q7055466
513,north tripura/Q1920978
514,nuapada/Q1810550
515,nuh/Q2216696
516,osmanabad/Q1647186
517,pakke kessang/Q32145
518,pakur/Q2295930
519,palakkad/Q1535742
520,palamu/Q1797254
521,palghar/Q18003119
522,pali/Q46925
523,palwal/Q2724926
524,panchkula/Q1898143
525,panchmahal/Q1781463
526,panipat/Q2086163
527,panna/Q2341630
528,papum pare/Q15432
529,parbhani/Q1797389
530,paschim bardhaman/Q29215602
531,paschim medinipur/Q1855537
532,patan/Q1815269
533,pathanamthitta/Q634935
534,pathankot/Q172269
535,patiala/Q172391
536,patna/Q100077
537,pauri garhwal/Q2085474
538,perambalur/Q15186
539,peren/Q516294
540,phek/Q590882
541,pilibhit/Q2980705
542,pithoragarh/Q1945425
543,porbandar/Q1772815
544,prakasam/Q15390
545,pratapgarhrj/Q1585433
546,pratapgarhup/Q1473962
547,prayagraj/Q1773426
548,puducherry/Q984035
549,pudukkottai/Q15190
550,pulwama/Q2085364
551,punch/Q2983134
552,pune/Q1797336
553,purba bardhaman/Q808023
554,purba medinipur/Q1431920
555,puri/Q1817158
556,purnia/Q100082
557,purulia/Q307474
558,rae bareli/Q1321157
559,raichur/Q1430830
560,raigad/Q2019683
561,raigarh/Q2286310
562,raipur/Q2295914
563,raisen/Q1815223
564,rajgarh/Q1833306
565,rajkot/Q1815245
566,rajnandgaon/Q2341800
567,rajouri/Q544279
568,rajsamand/Q596693
569,ramanagara/Q427679
570,ramanathapuram/Q15191
571,ramban/Q2321939
572,ramgarh/Q2663612
573,rampur/Q1815331
574,ranchi/Q1947380
575,ratlam/Q2299164
576,ratnagiri/Q1771768
577,rayagada/Q2577997
578,reasi/Q2321956
579,rewa/Q526862
580,rewari/Q2301759
581,ribhoi/Q1884672
582,rohtak/Q967388
583,rohtas/Q100085
584,rudraprayag/Q1805059
585,rupnagar/Q196508
586,s.a.s. nagar/Q2037672
587,s.p.s. nellore/Q15383
588,sabarkantha/Q1772856
589,sagar/Q2085421
590,saharanpur/Q1797326
591,saharsa/Q100120
592,sahibganj/Q767878
593,saiha/Q1821714
594,salem/Q15192
595,samastipur/Q100117
596,samba/Q1117086
597,sambalpur/Q1267306
